algorithm,size,time,collision
linear,100,1.3e-06,0
bst,100,7e-07,0
rbt,100,7e-07,0
hash,100,8e-07,48
multimap,100,1.8e-06,0
linear,1000,6.3e-06,0
bst,1000,9e-07,0
rbt,1000,9e-07,0
hash,1000,6e-07,899
multimap,1000,9e-07,0
linear,10000,0.0001134,0
bst,10000,3.9e-06,0
rbt,10000,2.9e-06,0
hash,10000,2.5e-06,9277
multimap,10000,1.2e-06,0
linear,20000,0.0001349,0
bst,20000,3e-06,0
rbt,20000,3.4e-06,0
hash,20000,4.3e-06,17695
multimap,20000,1.3e-06,0
linear,70000,0.0005628,0
bst,70000,2.8e-06,0
rbt,70000,2.8e-06,0
hash,70000,1.14e-05,53168
multimap,70000,1.7e-06,0
linear,120000,0.0010328,0
bst,120000,5.8e-06,0
rbt,120000,4.4e-06,0
hash,120000,2.03e-05,81902
multimap,120000,1.6e-06,0
linear,200000,0.0015691,0
bst,200000,5.6e-06,0
rbt,200000,5.8e-06,0
hash,200000,2.75e-05,119928
multimap,200000,1.8e-06,0
linear,350000,0.002691,0
bst,350000,1.01e-05,0
rbt,350000,8.5e-06,0
hash,350000,5.41e-05,177068
multimap,350000,2.3e-06,0
linear,600000,0.0046173,0
bst,600000,8.5e-06,0
rbt,600000,6.1e-06,0
hash,600000,9.68e-05,246951
multimap,600000,1.8e-06,0
linear,1000000,0.0076516,0
bst,1000000,2.35e-05,0
rbt,1000000,2.38e-05,0
hash,1000000,0.0001696,330454
multimap,1000000,6.7e-06,0
